Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_27022023000026;0062055700;;0090018000;X1;363157867R;ECA---0021;2;1200;1000;359;39,800;0;GERB--3551_1200_1000;none;202304180000;202304191150;6;100
0090018000_27022023000027;0062069600;;0090018000;X1;749414406R;SLI---1271;1;1600;1200;975;155,800;45;GERB--1613_1600_1200;none;202303300000;202304032110;1;100
0090018000_27022023000028;0062069600;;0090018000;X1;668920867R;SLI---0760;3;1200;1000;930;152,366;45;GERB--1213_1200_1000;none;202304180000;202304200740;3;100
0090018000_27022023000029;0062067900;;0090018000;X1;682406061R;ECA---0021;1;1200;1000;1057;109,680;0;GERB--3551_1200_1000;none;202303170000;202303200750;4;100
0090018000_27022023000030;0062055700;;0090018000;X1;769124916R;ECA---0021;1;1200;1000;359;38,600;0;GERB--3551_1200_1000;none;202304200000;202304241240;5;100
0090018000_27022023000031;0062069600;;0090018000;X1;849505086R;SLI---1271;3;1600;1200;975;181,960;45;GERB--1613_1600_1200;none;202304140000;202304180740;2;100
0090018000_27022023000032;0029908700;;0090018000;X4;873620570R;SLI---0770;7;1200;1000;975;131,366;45;GERB--1213_1200_1000;none;202304180000;202304201140;2;100
0090018000_27022023000033;0062059600;;0090018000;X0;762A37185R;SLI---0601;1;1200;1000;750;223,300;45;GERB--1213_1200_1000;none;202304110000;202304122115;3;100
0090018000_27022023000034;0062060800;;0090018000;X2;172038007R;ECM---5712;9;1600;1200;1350;207,720;45;GERB--1613_1600_1200;none;202303270000;202303281800;5;100
0090018000_27022023000035;0062069400;;0090018000;X0;821474009R;SLI---0601;1;1200;1000;750;405,720;45;GERB--1213_1200_1000;none;202303060000;202303132025;8;100
0090018000_27022023000036;0062067900;;0090018000;X1;620927800R;SLI---0771;1;1200;1000;975;149,310;45;GERB--1213_1200_1000;none;202303060000;202303071645;2;100
0090018000_27022023000037;0029908700;;0090018000;X4;873123547R;SLI---0770;7;1200;1000;975;131,366;45;GERB--1213_1200_1000;none;202303210000;202303231140;2;100
0090018000_27022023000038;0062067900;;0090018000;X1;769520359R;SLI---1101;19;1900;1200;750;177,104;45;GERB--0109_1900_1200;none;202303230000;202303240630;2;100
0090018000_27022023000039;0062055700;;0090018000;X1;363157867R;ECA---0021;1;1200;1000;558;61,600;0;GERB--3551_1200_1000;none;202303210000;202303221150;6;100
0090018000_27022023000040;0062055700;;0090018000;X1;769338352R;SLI---0760;1;1200;1000;930;133,104;45;GERB--1213_1200_1000;none;202303030000;202303061240;2;100
0090018000_27022023000041;0062067900;;0090018000;X1;985P18630R;ECA---0021;1;1200;1000;459;54,438;0;GERB--3551_1200_1000;none;202303140000;202303152115;11;100
0090018000_27022023000042;0062055700;;0090018000;X1;769126945R;ECA---0021;1;1200;1000;1155;109,480;0;GERB--3551_1200_1000;none;202304120000;202304131150;4;100
0090018000_27022023000043;0062055700;;0090018000;X3;685000609R;SLI---0901;23;1600;1200;750;137,391;45;GERB--1613_1600_1200;none;202304060000;202304101540;2;100
0090018000_27022023000044;0062067900;;0090018000;X1;850700639R;SLI---1271;1;1600;1200;975;187,720;45;GERB--1613_1600_1200;none;202304240000;202304251130;2;100
0090018000_27022023000045;0062067900;;0090018000;X1;769121432R;ECA---0021;1;1200;1000;943;88,470;0;GERB--3551_1200_1000;none;202303080000;202303090750;3;100
0090018000_27022023000046;0062067900;;0090018000;X1;809000868R;ECM---0560;8;2350;1000;950;286,656;45;GERB--1058_2350_1000;none;202304250000;202304261645;3;100
0090018000_27022023000047;0062055700;;0090018000;X1;769114116R;ECA---0021;1;1200;1000;1155;109,480;0;GERB--3551_1200_1000;none;202304180000;202304191150;4;100
0090018000_27022023000048;0029908700;;0090018000;X4;873123547R;SLI---0770;4;1200;1000;975;131,366;45;GERB--1213_1200_1000;none;202303280000;202303302110;2;100
0090018000_27022023000049;0028839800;;0090018000;X1;849025517R;SLI---1200;1;1600;1200;930;313,000;45;GERB--1613_1600_1200;none;202304110000;202304121125;2;100
0090018000_27022023000050;0062067000;;0090018000;X3;681006852R;ECM---8491;17;2050;1550;1450;215,582;45;GERB--1566_2050_1550;none;202303150000;202303161100;1;100
0090018000_27022023000051;0025439300;;0090018000;X0;802104628R;ECA---0021;1;1200;1000;1155;366,750;0;GERB--3551_1200_1000;none;202303070000;202303081700;9;100
0090018000_27022023000052;0062059600;;0090018000;X0;767528739R;SLI---1200;2;1600;1200;930;356,200;45;GERB--1613_1600_1200;none;202304130000;202304142115;5;100
0090018000_27022023000053;0062069400;;0090018000;X0;763568061R;SLI---0601;1;1200;1000;750;227,528;45;GERB--1213_1200_1000;none;202303200000;202303272025;4;100
0090018000_27022023000054;0062069600;;0090018000;X3;679002045R;SLI---0760;3;1200;1000;930;154,300;45;GERB--1213_1200_1000;none;202303060000;202303081635;3;100
0090018000_27022023000055;0062059600;;0090018000;X0;764421334R;SLI---0601;1;1200;1000;750;260,200;45;GERB--1213_1200_1000;none;202303090000;202303100610;4;100
0090018000_27022023000056;0062067900;;0090018000;X1;682406061R;ECA---0021;1;1200;1000;459;48,560;0;GERB--3551_1200_1000;none;202303270000;202303281645;4;100
0090018000_27022023000057;0062059600;;0090018000;X0;765304573R;SLI---1200;2;1600;1200;930;551,560;45;GERB--1613_1600_1200;none;202304190000;202304202115;6;100
0090018000_27022023000058;0029908700;;0090018000;X4;864304007R;ECA---0021;1;1200;1000;459;72,700;0;GERB--3551_1200_1000;none;202304250000;202304271650;8;100
0090018000_27022023000059;0062055700;;0090018000;X1;281767617R;ECA---0021;1;1200;1000;1155;166,600;0;GERB--3551_1200_1000;none;202304110000;202304121150;6;100
0090018000_27022023000060;0062059600;;0090018000;X0;762185808R;SLI---0760;1;1200;1000;930;704,120;45;GERB--1213_1200_1000;none;202303280000;202303292115;10;100
0090018000_27022023000061;0062067900;;0090018000;X1;809015570R;ECM---0560;1;2350;1000;950;271,360;45;GERB--1058_2350_1000;none;202304120000;202304131255;2;100
0090018000_27022023000062;0062069600;;0090018000;X3;799229469R;SLI---0601;36;1200;1000;750;105,224;45;GERB--1213_1200_1000;none;202303200000;202303221635;0;100
0090018000_27022023000063;0062065300;;0090018000;X3;909001457R;SLI---1200;1;1600;1200;930;171,100;45;GERB--1613_1600_1200;none;202304260000;202304271220;2;100
0090018000_27022023000064;0029908700;;0090018000;X4;864300348R;ECA---0021;1;1200;1000;459;72,700;0;GERB--3551_1200_1000;none;202303230000;202303271650;10;100
0090018000_27022023000065;0062055700;;0090018000;X3;668118617R;SLI---0901;2;1600;1200;750;155,640;45;GERB--1613_1600_1200;none;202304110000;202304121540;3;100
0090018000_27022023000066;0062067900;;0090018000;X1;601989787R;ECA---0021;1;1200;1000;459;47,140;0;GERB--3551_1200_1000;none;202303100000;202303131645;2;100
0090018000_27022023000067;0062055700;;0090018000;X1;769348276R;SLI---0770;7;1200;1000;975;139,980;45;GERB--1213_1200_1000;none;202303300000;202303311155;2;100
0090018000_27022023000068;0062059600;;0090018000;X0;751717215R;SLI---0771;2;1200;1000;975;329,770;45;GERB--1213_1200_1000;none;202304240000;202304250610;4;100
0090018000_27022023000069;0062055700;;0090018000;X1;620258441R;ECA---0021;1;1200;1000;459;46,480;0;GERB--3551_1200_1000;none;202303280000;202303291150;8;100
0090018000_27022023000070;0029271000;;0090018000;X3;799279589R;SLI---1200;1;1600;1200;930;164,360;45;GERB--1613_1600_1200;none;202304250000;202304271445;1;100
0090018000_27022023000071;0062067900;;0090018000;X1;243226013R;ECA---0021;1;1200;1000;359;123,500;0;GERB--3551_1200_1000;none;202303030000;202303060750;58;100
0090018000_27022023000072;0062067900;;0090018000;X1;638A89206R;ECA---0021;1;1200;1000;1057;125,190;0;GERB--3551_1200_1000;none;202304200000;202304240750;2;100
0090018000_27022023000073;0062059600;;0090018000;X0;764433506R;SLI---0601;1;1200;1000;750;260,520;45;GERB--1213_1200_1000;none;202304240000;202304251125;4;100
0090018000_27022023000074;0062059600;;0090018000;X0;8201638317;SLI---1200;1;1600;1200;930;387,300;45;GERB--1613_1600_1200;none;202304240000;202304250610;1;100
0090018000_27022023000075;0062069400;;0090018000;X0;8201560251;CON-S-0130;1;780;570;478;160,560;47;GERB--3195_780_570;widthwise;202302280000;202303072025;1;4
0090018000_27022023000076;0029271000;;0090018000;X3;849517970R;SLI---0760;2;1200;1000;930;140,000;45;GERB--1213_1200_1000;none;202303220000;202303240925;3;100
0090018000_27022023000077;0062067900;;0090018000;X1;850700639R;SLI---1271;2;1600;1200;975;187,720;45;GERB--1613_1600_1200;none;202304140000;202304170750;2;100
0090018000_27022023000078;0002893800;;0090018000;X1;823312985R;SLI---0770;4;1200;1000;975;156,150;45;GERB--1213_1200_1000;none;202303170000;202304170925;3;100
0090018000_27022023000079;0062059600;;0090018000;X0;801266223R;ECM---1934;1;1200;1000;545;526,750;45;GERB--1213_1200_1000;none;202303270000;202303281125;8;100
0090018000_27022023000080;0062059600;;0090018000;X0;8201615965;MTEM--5517;1;1800;1200;1350;820,480;45;GERB--0088_1800_1200;none;202304250000;202304262115;2;100
0090018000_27022023000081;0062069600;;0090018000;X1;762H16614R;ECA---0021;1;1200;1000;1057;89,460;0;GERB--3551_1200_1000;none;202303310000;202304042110;2;100
0090018000_27022023000082;0062059600;;0090018000;X0;765313222R;SLI---1200;1;1600;1200;930;607,600;45;GERB--1613_1600_1200;none;202303130000;202303140610;6;100
0090018000_27022023000083;0062067900;;0090018000;X1;682406061R;ECA---0021;1;1200;1000;1057;109,680;0;GERB--3551_1200_1000;none;202303280000;202303290750;4;100
0090018000_27022023000084;0062055700;;0090018000;X3;638120100R;SFDA--6836;6;1600;1200;930;149,322;45;GERB--1613_1600_1200;none;202303270000;202303281540;1;100
0090018000_27022023000085;0062055700;;0090018000;X1;243229923R;ECA---0021;1;1200;1000;1057;118,080;0;GERB--3551_1200_1000;none;202303160000;202303171155;4;100
0090018000_27022023000086;0062067900;;0090018000;X1;623103505R;SLI---0770;3;1200;1000;975;153,088;45;GERB--1213_1200_1000;none;202303240000;202303270750;2;100
0090018000_27022023000087;0029908700;;0090018000;X4;876118373R;SLI---0770;12;1200;1000;975;129,000;45;GERB--1213_1200_1000;none;202304170000;202304191140;1;100
0090018000_27022023000088;0062055700;;0090018000;X3;788A27317R;SFDA--6836;5;1600;1200;930;149,212;45;GERB--1613_1600_1200;none;202303200000;202303212005;1;100
0090018000_27022023000089;0062059600;;0090018000;X0;766364956R;SLI---1200;3;1600;1200;930;227,440;45;GERB--1613_1600_1200;none;202303090000;202303102115;3;100
0090018000_27022023000090;0028523600;;0090018000;X2;554325139R;SLI---0760;1;1200;1000;930;617,240;45;GERB--1213_1200_1000;none;202304050000;202304060755;11;100
0090018000_27022023000091;0062059600;;0090018000;X0;852486338R;SLI---0771;1;1200;1000;975;465,100;45;GERB--1213_1200_1000;none;202304050000;202304060610;7;100
0090018000_27022023000092;0029908700;;0090018000;X4;864304007R;ECA---0021;1;1200;1000;758;127,400;0;GERB--3551_1200_1000;none;202304100000;202304122025;8;100
0090018000_27022023000093;0062059600;;0090018000;X0;8201638486;MTEM--3124;1;1605;1205;1950;762,200;45;GERB--0394_1605_1205;none;202304060000;202304102115;2;100
0090018000_27022023000094;0062059600;;0090018000;X0;8201640266;SLI---0760;1;1200;1000;930;347,000;45;GERB--1213_1200_1000;none;202304140000;202304172115;2;100
0090018000_27022023000095;0062055700;;0090018000;X3;638120100R;SFDA--6836;23;1600;1200;930;149,322;45;GERB--1613_1600_1200;none;202304060000;202304101540;1;100
0090018000_27022023000096;0062059600;;0090018000;X0;801270754R;ECM---1934;1;1200;1000;545;526,750;45;GERB--1213_1200_1000;none;202303280000;202303291055;8;100
0090018000_27022023000097;0062067900;;0090018000;X1;850908990R;SLI---1271;2;1600;1200;975;197,164;45;GERB--1613_1600_1200;none;202304060000;202304101645;2;100
0090018000_27022023000098;0062059600;;0090018000;X0;762A20650R;SLI---0601;2;1200;1000;750;222,940;45;GERB--1213_1200_1000;none;202304040000;202304051055;3;100
0090018000_27022023000099;0062059600;;0090018000;X0;8201638317;SLI---1200;2;1600;1200;930;387,300;45;GERB--1613_1600_1200;none;202303080000;202303090610;1;100
0090018000_27022023000100;0062067900;;0090018000;X1;809010183R;ECM---0560;13;2350;1000;950;286,656;45;GERB--1058_2350_1000;none;202304270000;202304281645;3;100
0090018000_27022023000101;0029908700;;0090018000;X4;876612821R;SLI---0770;10;1200;1000;975;129,000;45;GERB--1213_1200_1000;none;202303010000;202303032055;1;100
0090018000_27022023000102;0062067900;;0090018000;X1;829015080R;ECM---0560;1;2350;1000;950;264,880;45;GERB--1058_2350_1000;none;202304120000;202304131255;1;100
0090018000_27022023000103;0025439300;;0090018000;X0;822783916R;ECA---0021;1;1200;1000;645;330,500;0;GERB--3551_1200_1000;none;202303210000;202303221700;7;100
0090018000_27022023000104;0062067900;;0090018000;X1;769166933R;SLI---0770;3;1200;1000;975;134,920;45;GERB--1213_1200_1000;none;202304270000;202304280750;1;100
0090018000_27022023000105;0062059600;;0090018000;X0;850421291R;SLI---1200;2;1600;1200;930;364,840;45;GERB--1613_1600_1200;none;202304180000;202304191055;6;100
0090018000_27022023000106;0062059600;;0090018000;X0;767122931R;SLI---1200;3;1600;1200;930;356,560;45;GERB--1613_1600_1200;none;202303070000;202303081055;6;100
0090018000_27022023000107;0062067900;;0090018000;X1;769364393R;SLI---0770;1;1200;1000;975;132,804;45;GERB--1213_1200_1000;none;202304100000;202304110750;1;100
0090018000_27022023000108;0062067900;;0090018000;X1;620936395R;SLI---0771;2;1200;1000;975;149,310;45;GERB--1213_1200_1000;none;202303010000;202303020750;2;100
0090018000_27022023000109;0062059600;;0090018000;X0;762156205R;SLI---0771;1;1200;1000;975;401,200;45;GERB--1213_1200_1000;none;202303060000;202303071125;6;100
0090018000_27022023000110;0062059600;;0090018000;X0;781418245R;ECM---0470;2;1600;1200;545;338,520;45;GERB--1613_1600_1200;none;202303030000;202303061055;6;100
0090018000_27022023000111;0062067900;;0090018000;X1;768518016R;SLI---1101;1;1900;1200;750;257,460;45;GERB--0109_1900_1200;none;202304100000;202304111130;3;100
0090018000_27022023000112;0062055700;;0090018000;X3;638132298R;SFDA--6836;5;1600;1200;930;149,322;45;GERB--1613_1600_1200;none;202303270000;202303281540;1;100
0090018000_27022023000113;0062059600;;0090018000;X0;673324970R;SLI---1200;1;1600;1200;930;784,600;45;GERB--1613_1600_1200;none;202303210000;202303221055;11;100
0090018000_27022023000114;0029271000;;0090018000;X1;749025768R;ECM---4390;13;1800;1400;1020;201,008;45;GERB--0343_1800_1400;none;202304180000;202304200925;3;3
0090018000_27022023000115;0062059600;;0090018000;X0;762A38486R;SLI---0760;2;1200;1000;930;291,480;45;GERB--1213_1200_1000;none;202304140000;202304171055;4;100
0090018000_27022023000116;0062059600;;0090018000;X0;8201638317;SLI---1200;2;1600;1200;930;387,300;45;GERB--1613_1600_1200;none;202303200000;202303211125;1;100
0090018000_27022023000117;0062059600;;0090018000;X0;8201640263;SLI---0760;1;1200;1000;930;345,290;45;GERB--1213_1200_1000;none;202303210000;202303221055;2;100
0090018000_27022023000118;0062059600;;0090018000;X0;762A37185R;SLI---0601;1;1200;1000;750;223,300;45;GERB--1213_1200_1000;none;202303310000;202304031055;3;100
0090018000_27022023000119;0062067900;;0090018000;X1;620727808R;SLI---1271;3;1600;1200;975;166,392;45;GERB--1613_1600_1200;none;202303160000;202303172115;1;100
0090018000_27022023000120;0029938000;;0090018000;X3;272707927R;ECM---5565;20;1400;1200;1450;179,400;45;GERB--0475_1400_1200;none;202303100000;202303171150;9;100
0090018000_27022023000121;0062060800;;0090018000;X2;172039318R;ECM---0559;4;1600;1200;1350;303,920;45;GERB--1613_1600_1200;none;202303310000;202304030915;5;100
0090018000_27022023000122;0062069400;;0090018000;X0;8201677033;SLI---1200;4;1600;1200;930;547,300;45;GERB--1613_1600_1200;none;202303060000;202303132025;1;100
0090018000_27022023000123;0062060800;;0090018000;X2;172032458R;ECM---5712;6;1600;1200;1350;205,160;45;GERB--1613_1600_1200;none;202303020000;202303031430;4;100
0090018000_27022023000124;0028839800;;0090018000;X1;749023569R;ECM---6796;3;2030;1530;975;245,764;45;GERB--0894_2030_1530;none;202304260000;202304271225;2;100
0090018000_27022023000125;0029271000;;0090018000;X3;679001853R;SFDA--6814;10;1600;1200;930;227,000;45;GERB--1613_1600_1200;none;202304190000;202304241445;2;100
0090018000_27022023000126;0062067900;;0090018000;X1;620727808R;SLI---1271;5;1600;1200;975;166,392;45;GERB--1613_1600_1200;none;202304170000;202304181645;1;100
0090018000_27022023000127;0062067900;;0090018000;X1;769359302R;SLI---0770;1;1200;1000;975;152,112;45;GERB--1213_1200_1000;none;202303010000;202303022115;2;100
0090018000_27022023000128;0062067900;;0090018000;X1;909006477R;SLI---0770;2;1200;1000;975;142,590;45;GERB--1213_1200_1000;none;202304110000;202304122115;2;100
0090018000_27022023000129;0002893800;;0090018000;X1;769242666R;SLI---0770;1;1200;1000;975;248,880;45;GERB--1213_1200_1000;none;202302090000;202303130925;3;100
0090018000_27022023000130;0062067000;;0090018000;X3;682001173R;ECM---6799;2;2200;1600;1450;258,560;45;GERB--0515_2200_1600;none;202303140000;202303150725;2;100
0090018000_27022023000131;0062059600;;0090018000;X0;762185808R;SLI---0760;1;1200;1000;930;704,120;45;GERB--1213_1200_1000;none;202304250000;202304260610;10;100
0090018000_27022023000132;0062069600;;0090018000;X1;849041688R;SLI---1271;2;1600;1200;975;460,000;45;GERB--1613_1600_1200;none;202304060000;202304112110;5;100
0090018000_27022023000133;0062067900;;0090018000;X1;909006477R;SLI---0770;6;1200;1000;975;142,590;45;GERB--1213_1200_1000;none;202303270000;202303281645;2;100
0090018000_27022023000134;0062067900;;0090018000;X1;462678493R;SLI---1271;1;1600;1200;975;246,900;45;GERB--1613_1600_1200;none;202303240000;202303270750;2;100
0090018000_27022023000135;0062055700;;0090018000;X1;769116976R;ECA---0021;1;1200;1000;359;38,600;0;GERB--3551_1200_1000;none;202303300000;202303311155;5;100
0090018000_27022023000136;0062059600;;0090018000;X0;762A26597R;SLI---0760;2;1200;1000;930;291,000;45;GERB--1213_1200_1000;none;202304180000;202304191055;4;100
0090018000_27022023000137;0029908700;;0090018000;X4;886055930R;SFDA--6640;6;1600;1200;930;174,305;45;GERB--1613_1600_1200;none;202303080000;202303101650;2;100
0090018000_27022023000138;0029271000;;0090018000;X3;849023317R;SLI---1200;2;1600;1200;930;307,130;45;GERB--1613_1600_1200;none;202303020000;202303061445;4;100
0090018000_27022023000139;0062067000;;0090018000;X3;682001173R;ECM---6799;12;2200;1600;1450;258,560;45;GERB--0515_2200_1600;none;202304140000;202304171100;2;100
0090018000_27022023000140;0029908700;;0090018000;X4;864304007R;ECA---0021;1;1200;1000;758;127,400;0;GERB--3551_1200_1000;none;202304250000;202304271140;8;100
0090018000_27022023000141;0062055700;;0090018000;X1;363157867R;ECA---0021;1;1200;1000;558;61,600;0;GERB--3551_1200_1000;none;202304270000;202304281155;6;100
0090018000_27022023000142;0062059600;;0090018000;X0;8201638297;SLI---1200;1;1600;1200;930;396,200;45;GERB--1613_1600_1200;none;202303060000;202303072115;1;100
0090018000_27022023000143;0062069400;;0090018000;X0;673382672R;CON-S-0130;3;780;570;478;170,280;47;GERB--3195_780_570;widthwise;202303270000;202304032025;3;4
0090018000_27022023000144;0062069600;;0090018000;X1;748761857R;SLI---0760;2;1200;1000;930;128,840;45;GERB--1213_1200_1000;none;202303140000;202303162110;3;100
0090018000_27022023000145;0062059600;;0090018000;X0;751717215R;SLI---0771;1;1200;1000;975;329,770;45;GERB--1213_1200_1000;none;202304040000;202304050610;4;100
0090018000_27022023000146;0062055700;;0090018000;X3;682526755R;SLI---0601;7;1200;1000;750;135,800;45;GERB--1213_1200_1000;none;202304060000;202304100840;3;100
0090018000_27022023000147;0062067900;;0090018000;X1;850908990R;SLI---1271;1;1600;1200;975;197,164;45;GERB--1613_1600_1200;none;202303150000;202303162115;2;100
0090018000_27022023000148;0062067900;;0090018000;X1;638754730R;ECA---0021;1;1200;1000;1057;114,480;0;GERB--3551_1200_1000;none;202303290000;202303302115;4;100
0090018000_27022023000149;0062059600;;0090018000;X0;671204427R;SLI---0901;2;1600;1200;750;323,700;45;GERB--1613_1600_1200;none;202303310000;202304031055;4;100
0090018000_27022023000150;0062067900;;0090018000;X1;601989787R;ECA---0021;1;1200;1000;459;47,140;0;GERB--3551_1200_1000;none;202303280000;202303292115;2;100
0090018000_27022023000151;0062069600;;0090018000;X1;749408303R;SLI---1271;3;1600;1200;975;177,760;45;GERB--1613_1600_1200;none;202304260000;202304281635;1;100
0090018000_27022023000152;0062059600;;0090018000;X0;762A37185R;SLI---0601;1;1200;1000;750;223,300;45;GERB--1213_1200_1000;none;202303230000;202303240610;3;100
0090018000_27022023000153;0062067900;;0090018000;X1;909006477R;SLI---0770;9;1200;1000;975;142,590;45;GERB--1213_1200_1000;none;202303290000;202303300750;2;100
0090018000_27022023000154;0062069400;;0090018000;X0;843408889R;SLI---0601;1;1200;1000;750;267,800;45;GERB--1213_1200_1000;none;202303090000;202303162025;6;100
0090018000_27022023000155;0029908700;;0090018000;X4;876118373R;SLI---0770;10;1200;1000;975;129,000;45;GERB--1213_1200_1000;none;202303130000;202303152025;1;100
0090018000_27022023000156;0062059600;;0090018000;X0;751717215R;SLI---0771;4;1200;1000;975;329,770;45;GERB--1213_1200_1000;none;202303080000;202303090610;4;100
0090018000_27022023000157;0062067900;;0090018000;X1;769151408R;SLI---0770;2;1200;1000;975;134,920;45;GERB--1213_1200_1000;none;202304100000;202304111645;1;100
0090018000_27022023000158;0062069400;;0090018000;X0;745326954R;CON-S-0130;5;780;570;478;100,960;47;GERB--3195_780_570;widthwise;202304100000;202304172025;1;4
0090018000_27022023000159;0062069600;;0090018000;X3;658406210R;SLI---0901;11;1600;1200;750;148,860;45;GERB--1613_1600_1200;none;202304200000;202304251220;2;100
0090018000_27022023000160;0062067900;;0090018000;X1;620936395R;SLI---0771;1;1200;1000;975;149,310;45;GERB--1213_1200_1000;none;202303060000;202303071130;2;100
0090018000_27022023000161;0062069600;;0090018000;X1;758902489R;SLI---0760;1;1200;1000;930;156,130;45;GERB--1213_1200_1000;none;202304240000;202304262120;5;100
0090018000_27022023000162;0062059600;;0090018000;X0;767122931R;SLI---1200;1;1600;1200;930;356,560;45;GERB--1613_1600_1200;none;202304270000;202304280610;6;100
0090018000_27022023000163;0062059600;;0090018000;X0;767122931R;SLI---1200;1;1600;1200;930;356,560;45;GERB--1613_1600_1200;none;202303310000;202304032115;6;100
0090018000_27022023000164;0062069400;;0090018000;X0;625189279R;CON-S-0130;1;780;570;478;270,080;47;GERB--3195_780_570;widthwise;202303270000;202304032025;5;4
0090018000_27022023000165;0029908700;;0090018000;X4;886055930R;SFDA--6640;7;1600;1200;930;174,305;45;GERB--1613_1600_1200;none;202303280000;202303300740;2;100
0090018000_27022023000166;0062055700;;0090018000;X3;638132298R;SFDA--6836;11;1600;1200;930;149,322;45;GERB--1613_1600_1200;none;202303070000;202303080640;1;100
0090018000_27022023000167;0062067900;;0090018000;X1;829013154R;ECM---0560;10;2350;1000;950;272,592;45;GERB--1058_2350_1000;none;202304060000;202304101255;2;100
